log_id,roll_no,course_code,session_date,status
L00001,BSAI-23-001,CS101,22-01-2024,P
L00002,BSAI-23-001,CS101,24-01-2024,P
L00003,BSAI-23-001,CS101,29-01-2024,P
L00004,BSAI-23-001,CS101,31-01-2024,P
L00005,BSAI-23-001,CS101,05-02-2024,P
L00006,BSAI-23-001,CS101,07-02-2024,L
L00007,BSAI-23-001,CS101,12-02-2024,A
L00008,BSAI-23-001,CS101,14-02-2024,P
L00009,BSAI-23-001,CS101,19-02-2024,P
L00010,BSAI-23-001,CS101,21-02-2024,P
L00011,BSAI-23-001,CS101,26-02-2024,P
L00012,BSAI-23-001,CS101,28-02-2024,P
L00013,BSAI-23-001,CS111,23-01-2024,A
L00014,BSAI-23-001,CS111,25-01-2024,P
L00015,BSAI-23-001,CS111,30-01-2024,P
L00016,BSAI-23-001,CS111,01-02-2024,P
L00017,BSAI-23-001,CS111,06-02-2024,P
L00018,BSAI-23-001,CS111,08-02-2024,P
L00019,BSAI-23-001,CS111,13-02-2024,P
L00020,BSAI-23-001,CS111,15-02-2024,P
L00021,BSAI-23-001,CS111,20-02-2024,P
L00022,BSAI-23-001,CS111,22-02-2024,L
L00023,BSAI-23-001,CS111,27-02-2024,A
L00024,BSAI-23-001,CS111,29-02-2024,P
L00025,BSAI-23-001,HU101,22-01-2024,P
L00026,BSAI-23-001,HU101,29-01-2024,P
L00027,BSAI-23-001,HU101,05-02-2024,P
L00028,BSAI-23-001,HU101,12-02-2024,P
L00029,BSAI-23-001,HU101,19-02-2024,P
L00030,BSAI-23-001,HU101,26-02-2024,P
L00031,BSAI-23-001,HU101,04-03-2024,P
L00032,BSAI-23-001,HU101,11-03-2024,P
L00033,BSAI-23-001,HU101,18-03-2024,L
L00034,BSAI-23-001,HU101,25-03-2024,A
L00035,BSAI-23-001,IS101,23-01-2024,P
L00036,BSAI-23-001,IS101,30-01-2024,P
L00037,BSAI-23-001,IS101,06-02-2024,P
L00038,BSAI-23-001,IS101,13-02-2024,L
L00039,BSAI-23-001,IS101,20-02-2024,A
L00040,BSAI-23-001,IS101,27-02-2024,P
L00041,BSAI-23-001,IS101,05-03-2024,P
L00042,BSAI-23-001,IS101,12-03-2024,P
L00043,BSAI-23-001,IS101,19-03-2024,P
L00044,BSAI-23-001,IS101,26-03-2024,P
L00045,BSAI-23-001,CS121,22-01-2024,P
L00046,BSAI-23-001,CS121,29-01-2024,P
L00047,BSAI-23-001,CS121,05-02-2024,P
L00048,BSAI-23-001,CS121,12-02-2024,L
L00049,BSAI-23-001,CS121,19-02-2024,A
L00050,BSAI-23-001,CS121,26-02-2024,P
L00051,BSAI-23-001,CS121,04-03-2024,P
L00052,BSAI-23-001,CS121,11-03-2024,P
L00053,BSAI-23-001,CS121,18-03-2024,P
